Dataset,MAPE,MAE,RMSE
ISE/lab2/datasets/xz/ambivert.wav.tar.csv,1.4689,13.5086,17.7149
ISE/lab2/datasets/xz/enwik8.tar.csv,2.0759,72.128,97.0917
ISE/lab2/datasets/xz/uiq2-8.bin.csv,0.9006,12.4184,16.6488
ISE/lab2/datasets/xz/fannie_mae_500k.tar.csv,0.9728,30.8465,37.2155
ISE/lab2/datasets/xz/uiq-32.bin.csv,1.3126,73.7384,93.9234
ISE/lab2/datasets/xz/uiq2-16.bin.csv,1.1971,33.5822,42.9327
ISE/lab2/datasets/xz/silesia.tar.csv,1.004,62.9612,80.9369
ISE/lab2/datasets/jump3r/beethoven.wav.csv,0.2548,2.2331,2.8879
ISE/lab2/datasets/jump3r/dual-channel.wav.csv,0.2323,0.599,0.815
ISE/lab2/datasets/jump3r/sweep.wav.csv,0.1181,0.0685,0.0864
ISE/lab2/datasets/jump3r/single-channel.wav.csv,0.1873,0.3225,0.4249
ISE/lab2/datasets/jump3r/speech.wav.csv,0.1937,0.7997,1.0038
ISE/lab2/datasets/jump3r/helix.wav.csv,0.2478,1.0725,1.5592
ISE/lab2/datasets/lrzip/deepfield.tar.csv,1.2497,12.4768,22.0632
ISE/lab2/datasets/lrzip/vmlinux-5.10.tar.csv,0.6763,4.2864,6.8559
ISE/lab2/datasets/lrzip/artificl.tar.csv,11.6825,1.1994,1.3931
ISE/lab2/datasets/lrzip/large.tar.csv,0.9077,2.234,3.0901
ISE/lab2/datasets/lrzip/misc.tar.csv,2.3142,1.2334,1.4703
ISE/lab2/datasets/lrzip/uiq2-4.bin.csv,1.0369,6.4668,10.8784
ISE/lab2/datasets/lrzip/ambivert.wav.tar.csv,1.2424,12.6663,22.5113
ISE/lab2/datasets/lrzip/enwik8.tar.csv,0.9444,17.3159,27.6754
ISE/lab2/datasets/lrzip/uiq2-8.bin.csv,1.3098,13.5098,21.4339
ISE/lab2/datasets/lrzip/fannie_mae_500k.tar.csv,0.1097,4.8738,7.549
ISE/lab2/datasets/lrzip/uiq-32.bin.csv,1.8929,47.3584,71.5995
ISE/lab2/datasets/lrzip/uiq2-16.bin.csv,1.6937,26.0625,40.2837
ISE/lab2/datasets/lrzip/silesia.tar.csv,1.1053,28.7037,45.1548
ISE/lab2/datasets/batlik/strawberry.csv,0.0585,0.0981,0.131
ISE/lab2/datasets/batlik/corona.csv,0.128,0.1863,0.2571
ISE/lab2/datasets/batlik/village.csv,0.5912,1.8197,2.4412
ISE/lab2/datasets/batlik/jelly.csv,0.1786,0.3304,0.4364
ISE/lab2/datasets/batlik/cubus.csv,0.0394,0.2416,0.3341
ISE/lab2/datasets/batlik/flame.csv,0.0331,0.059,0.0771
ISE/lab2/datasets/batlik/france.csv,0.0408,0.15,0.1967
ISE/lab2/datasets/batlik/cranium.csv,0.0338,0.0698,0.095
ISE/lab2/datasets/batlik/mandelbrot.csv,0.048,0.0632,0.0853
ISE/lab2/datasets/batlik/karte.csv,0.1476,1.4744,1.8749
ISE/lab2/datasets/batlik/frisco.csv,0.054,0.2562,0.3293
ISE/lab2/datasets/dconvert/svg-small.csv,0.0359,0.0202,0.0256
ISE/lab2/datasets/dconvert/svg-large.csv,0.0208,0.0313,0.0396
ISE/lab2/datasets/dconvert/png-medium.csv,0.0354,0.023,0.0294
ISE/lab2/datasets/dconvert/jpeg-medium.csv,0.1027,0.1768,0.2389
ISE/lab2/datasets/dconvert/psd-medium.csv,0.0518,0.0675,0.0898
ISE/lab2/datasets/dconvert/svg-medium.csv,0.017,0.0262,0.033
ISE/lab2/datasets/dconvert/png-large.csv,0.0934,0.2189,0.2807
ISE/lab2/datasets/dconvert/psd-small.csv,0.0352,0.0197,0.0243
ISE/lab2/datasets/dconvert/psd-large.csv,0.0144,0.542,0.8926
ISE/lab2/datasets/dconvert/png-small.csv,0.0337,0.0151,0.0196
ISE/lab2/datasets/dconvert/jpeg-small.csv,0.0348,0.0149,0.019
ISE/lab2/datasets/dconvert/jpeg-large.csv,0.1367,0.4174,0.5621
ISE/lab2/datasets/x264/Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7638,8.9118,11.3605
ISE/lab2/datasets/x264/sd_city_4cif_short.y4m.csv,0.8132,1.5158,1.9302
ISE/lab2/datasets/x264/riverbed_1080p25_short.y4m.csv,0.6354,6.7731,8.9511
ISE/lab2/datasets/x264/blue_sky_1080p25_short.y4m.csv,0.7617,3.2044,4.0826
ISE/lab2/datasets/x264/sd_crew_cif_short.y4m.csv,0.6116,0.2505,0.3214
ISE/lab2/datasets/x264/sd_bridge_close_cif_short.y4m.csv,0.5142,0.1437,0.1826
ISE/lab2/datasets/x264/sintel_trailer_2k_720p24_short.y4m.csv,0.5001,0.3806,0.4773
ISE/lab2/datasets/x264/pedestrian_area_1080p25_short.y4m.csv,0.696,3.6462,4.6701
ISE/lab2/datasets/x264/Johnny_1280x720_60_short.y4m.csv,0.8544,2.6173,3.381
